  	17157471
 e	9244785
 t	8370774
t 	8361292
e 	6032896
 i	4814715
o 	4740214
s 	4734697
i 	4727842
a 	4558471
 a	4535404
 s	4187297
ee	4120498
eo	4058824
 r	4043194
 n	3864367
 l	3820042
r 	3807295
en	3712537
et	3651463
ea	3635332
n 	3616118
h 	3602175
te	3561175
 o	3416269
er	3323312
se	3173104
l 	3122760
ne	3112138
d 	3099314
ei	2898782
 h	2783873
oe	2759101
an	2747924
at	2701094
w 	2692182
aa	2632455
 d	2630126
ia	2585421
ts	2555049
es	2545016
ae	2453879
 c	2453595
no	2451839
oo	2446332
re	2442491
ao	2377650
oa	2376790
it	2328260
m 	2321145
 m	2305405
io	2261409
on	2222088
ta	2211172
ot	2179047
oh	2149865
 u	2134817
 p	2096696
tt	2072279
nt	2066665
ie	2025914
na	2014876
he	1953211
to	1939811
ii	1939381
ai	1923425
oi	1922257
le	1908908
eh	1894269
ri	1847529
or	1828703
st	1823250
ar	1806640
as	1756056
is	1754376
so	1752210
ro	1717347
u 	1714945
ra	1710602
ha	1692839
tn	1683329
sa	1682781
ed	1680737
ti	1672295
ni	1668591
y 	1655519
tr	1644252
rt	1634481
f 	1634132
nn	1617494
c 	1615641
el	1613280
ce	1602151
in	1591983
nh	1590596
rn	1585950
g 	1559960
sn	1534584
rs	1507163
si	1486981
de	1466826
os	1458240
 y	1448615
ir	1437467
nr	1436989
ho	1430155
pe	1420345
ss	1399861
hi	1390882
ih	1370988
th	1365159
 k	1362637
ns	1359962
rr	1359035
lo	1346756
sl	1336845
sr	1327744
b 	1307888
ec	1307864
fe	1287622
 w	1277272
p 	1277067
ah	1261779
eu	1252531
 g	1244874
tl	1202124
dt	1180769
ln	1129325
ey	1126916
ht	1121806
la	1118566
lt	1110753
sd	1075478
em	1051073
li	1041561
ci	1037948
ls	1009027
ef	1006119
ac	1000156
 f	1000112
 b	997598
tc	991612
il	987663
hs	982182
nl	969016
k 	955273
rl	943138
cs	942831
me	934935
ad	933219
ue	932425
do	932151
tu	924228
rh	911551
ep	907829
sh	905643
co	900420
cn	900093
uo	899789
ds	886021
rd	879619
da	872603
td	868905
ut	868577
un	867885
ct	867263
dr	865252
ca	861534
ag	856333
v 	852914
dn	850731
hr	848078
pi	846783
ol	842520
.e	842342
ua	835025
lr	833267
tf	829848
tg	822136
pt	819537
oc	817850
eg	814662
ft	813668
ge	811418
al	807444
ui	806012
nu	804354
we	802587
nd	796998
. 	788808
tp	782293
tm	781632
mi	775735
di	766106
ew	759794
rc	758291
 v	752290
ur	736867
nf	733122
mt	725093
ay	718091
sc	716264
gt	704982
am	697528
ic	696951
id	691598
iu	689267
aw	674172
hn	673929
od	673057
of	669956
ou	669881
hh	667184
nc	665454
af	650471
iy	643423
au	642403
ms	640891
ma	638377
ye	623187
ev	619201
fa	611801
